"TBMS","TBMS.JK"," Tembaga Mulia Semanan Tbk."
"TCID","TCID.JK"," Mandom Indonesia Tbk."
"TCPI","TCPI.JK"," Transcoal Pacific Tbk."
"TDPM","TDPM.JK"," Tridomain Performance Materials Tbk."
"TFCO","TFCO.JK"," Tifieo Fiber Indonesia Tbk."
"TGKA","TGKA.JK"," Tigaraksa Satria Tbk."
"TGRA","TGRA.JK"," Terregra Asia Energy Tbk."
"TINS","TINS.JK"," Timah Tbk."
"TIRT","TIRT.JK"," Tirta Mahakam Resources Tbk."
"TLKM","TLKM.JK"," Telekomunikasi Indonesia (Persero) Tbk."
"TMAS","TMAS.JK"," Pelayaran Tempuran Emas Tbk."
"TMPO","TMPO.JK"," Tempo Intimedia Tbk."
"TNCA","TNCA.JK"," Trimuda Nuansa Citra Tbk."
"TOBA","TOBA.JK"," Toba Bara Sejahtra Tbk."
"TOPS","TOPS.JK"," Totalindo Eka Persada Tbk."
"TOTL","TOTL.JK"," Total Bangun Persada Tbk."
"TOTO","TOTO.JK"," Surya Toto Indonesia Tbk."
"TPIA","TPIA.JK"," Chandra Asri Petrochemical Tbk."
"TPMA","TPMA.JK"," Trans Power Marine Tbk."
"TRAM","TRAM.JK"," Trada A lam Minera Tbk."
"TRIL","TRIL.JK"," Triwira Insanlestari Tbk."
"TRIS","TRIS.JK"," Trisula International Tbk."
"TRST","TRST.JK"," Trias Sentosa Tbk."
"TRUK","TRUK.JK"," Guna Timur Ray a Tbk."
"TSPC","TSPC.JK"," Tempo Scan Pacific Tbk."
"TURI","TURI.JK"," Tunas Ridean Tbk."
"ULTJ","ULTJ.JK"," Ultra Jaya Milk Industry & Trading Company, Tbk."
"UNIC","UNIC.JK"," Unggul Indah Cahaya Tbk."
"UNIT","UNIT.JK"," Nusantara Inti Corpora Tbk."
"UNTR","UNTR.JK"," United Tractors Tbk."
"UNVR","UNVR.JK"," Unilever Indonesia Tbk."
"URBN","URBN.JK"," Urban Jakarta Propertindo Tbk."
"VOKS","VOKS.JK"," Voksel Electric Tbk."
"WAPO","WAPO.JK"," Wahana Pronatural Tbk."
"WEGE","WEGE.JK"," Wijaya Karya Bangunan Gedung Tbk. "
